country_code,region,year,gdp_per_capita,population,bank_capital_assets_ratio,domestic_credit_private_gdp,exports_gdp,fdi_net_inflows_gdp,gdp_growth_annual,gdp_per_capita_constant,gdp_per_capita_growth,gdp_ppp_constant,government_debt_gdp,government_expenditure_gdp,gross_investment_gdp,gross_savings_gdp,imports_gdp,internet_users_pct,market_cap_gdp,patent_applications_residents,population_growth,private_investment_gdp,real_interest_rate,research_development_gdp,tariff_rate_applied_weighted,tax_revenue_gdp,tertiary_education_enrollment,trade_gdp,unemployment_total,urban_population_pct,country_name
CHN,East Asia,2008,8190.112094505943,1318559.28,,,32.6025028810906,3.73361071056151,9.65067891939361,4711.64344921263,9.09028010137361,11348272829141.9,,,42.2690268131211,51.7875873840542,25.0098393604755,22.6,38.7168839150393,194579.0,0.51238693163744,34.9260264636592,-2.30561534273404,1.44591999053955,4.47,10.1014265266002,21.8546905517578,57.6123422415661,4.59,46.539,China
CHN,East Asia,2009,8734.04062380443,1324993.12,,,24.7499139061302,2.56889430733347,9.39872563259674,5128.90412774381,8.8559476757714,12414865856391.4,,,45.3562358300454,50.3730420825472,20.4350623009177,28.9,70.0385886356581,229096.0,0.497381400884935,39.4749029956445,5.53112290892275,1.66480004787445,3.94,10.3094417362922,23.2702102661133,45.1849762070479,4.72,47.88,China
CHN,East Asia,2010,9658.41859928433,1331357.45,,,27.1853327204051,4.00354456866117,10.6358710644913,5647.06872713954,10.1028326225249,13735294981706.8,,,46.5561547048834,51.3267135766309,23.5317449422952,34.3,66.1691050260927,293066.0,0.482959688678361,39.4936982019028,-1.00240121413203,1.7137199640274,4.65,10.212048608843,25.2860698699951,50.7170776627003,4.53,49.226,China
CHN,East Asia,2011,10221.0,1339548.68,,,26.5681893451605,3.70880651655626,9.55083217877568,6152.69687271855,8.95381604174548,15047129954669.4,,,46.6601210962037,49.2333282501259,24.1727152412604,38.3,45.1842367642074,415829.0,0.546457594880274,39.5607363589746,-1.40242874659116,1.78033995628357,5.99,10.3127948892952,26.8075294494629,50.7409045864209,4.55,50.511,China
CHN,East Asia,2012,10946.83397149056,1349537.02,,,25.4925222245396,2.82710533551379,7.86373644862111,6591.66249405644,7.13452377743971,16230396597386.1,,,46.2252655950979,48.6653634062587,22.7750001428637,42.3,43.3344550616377,535313.0,0.678345458846803,39.9825640260104,3.58520352938242,1.91214001178741,,10.2567686829398,29.3250408172607,48.2675223674033,4.58,51.765,China
CHN,East Asia,2013,11731.294597488408,1357519.74,,,24.599254436897,3.03985486260271,7.76615009773009,7056.42309152349,7.05073413400802,17490873558596.0,,,46.3989493360759,47.3783915431545,22.1451211404583,45.8,41.2638358535746,704936.0,0.666072977690069,40.2555411841561,3.75538705540398,1.99785995483398,,9.90773258312895,32.7620315551758,46.7443755773553,4.6,53.013,China
CHN,East Asia,2014,12515.198304795971,1366654.2,6.86070750816753,,23.5100609074235,2.55924761041391,7.42576365632412,7532.78530130172,6.75076031581014,18789704490483.8,,,45.8239527573535,47.6158184131896,21.3951550469261,47.9,57.3230494781675,801135.0,0.630326389541893,39.5673900880982,4.52230843210213,2.02242994308472,4.74,9.67861882699669,43.8821907043457,44.9052159543496,4.63,54.259,China
CHN,East Asia,2015,13325.431748191117,1373405.76,7.06618760408165,,21.3540798828848,2.19217773086009,7.04132887873656,8016.44559489998,6.42073647731185,20112749379001.5,,,43.2348066562247,45.4175894313738,18.110089452417,50.3,74.0221992146726,968252.0,0.581456146657648,37.5842610198175,4.35307225217325,2.05700993537903,4.52,9.37692044713406,47.4353790283203,39.4641693353018,4.65,55.5,China
CHN,East Asia,2016,14138.954637273522,1382401.21,6.87223521109835,,19.5843800536482,1.55563699883085,6.84876220495761,8516.52874235572,6.23821544767785,21490223756848.4,,,42.6313769323417,44.3806614370311,17.3100349634307,53.2,65.1698915878309,1204981.0,0.573050906069647,37.0592815836999,2.90181538908108,2.10033011436462,3.54,9.12291556057604,49.7083587646484,36.8944150170789,4.56,56.736,China
CHN,East Asia,2017,15030.447422313577,1390135.72,7.08840806709445,,19.6922769882201,1.34912369633213,6.94720079331685,9053.22872461936,6.30186310056631,22983192752169.8,,,43.0132973858151,44.9050475034286,17.9401362522062,54.3,70.7629531889935,1245709.0,0.605245013482969,36.6917701282452,0.112553973046852,2.11602997779846,3.83,9.41931765253305,51.5827713012695,37.6324132404263,4.47,57.96,China
